	link	source	type	text
0	https://www.khanacademy.org/math/calculus-1/cs1-limits-and-continuity/cs1-formal-definition-of-limits-epsilon-delta/v/limit-intuition-review	khanacademy	video	:00Let's review our intuition of what a limit even is.So let me draw some axes here.So let's say this is my y-axis, so try to draw a vertical line.So that right over there is my y-axis.And then let's say this is my x-axis.I'll focus on the first quadrant,although I don't have to.So let's say this right over here is my x-axis.And then let me draw a function.So let's say my function looks something like that,could look like anything, but that seems suitable.So this is the function y is equal to f of x.And just for the sake of conceptual understanding,I'm going to say it's not defined at a point.I didn't have to do this.You can find the limit as x approaches a point wherethe function actually is defined,but it becomes that much more interesting, at least for me,or you start to understand why a limit might be relevantwhere a function is not defined at some point.So the way I've drawn it, this functionis not defined when x is equal to c.Now, the way that we've thought about a limitis what does f of x approach as x approaches c?So let's think about that a little bit.When x is a reasonable bit lower than c,f of x, for our function that we just drew, is right over here.That's what f of x is going to be equal. y is equal to f of x.When x gets a little bit closer, then our f of xis right over there.When x gets even closer, maybe really almostat c, but not quite at c, then our f of x is right over here.And the way we see it, we see that our f of xseems to be-- as x gets closer and closer to cit looks like our f of x is getting closerand closer to some value right over there.Maybe I'll draw it with a more solid line.And that was actually only the casewhen x was getting closer to c from the left,from values of x less than c.But what happens as we get closer and closerto c from values of x that are larger than c?Well, when x is over here, f of x is right over here.And so that's what f of x is, is right over there.When x gets a little bit closer to c, our f of xis right over there.When x is just very slightly larger than c, then our f of xis right over there.And you see, once again, it seemsto be approaching that same value.And we call that value, that value that f of xseems to be approaching as x approachesc, we call that value L, or the limit.And so the way we would denote itis we would call that the limit.We don't have to call it L all the time,but it is referred to as the limit.And the way that we would kind ofwrite that mathematically is we would say the limit of fof x as x approaches c is equal to L.And this is a fine conceptual understanding of limits,and it really will take you pretty far,and you're ready to progress and start thinkingabout taking a lot of limits.But this isn't a very mathematically-rigorousdefinition of limits.And so this sets us up for the intuition.In the next few videos, we will introducea mathematically-rigorous definitionof limits that will allow us to do thingslike prove that the limit as x approaches ctruly is equal to L.
0	https://www.khanacademy.org/math/calculus-1/cs1-limits-and-continuity/cs1-formal-definition-of-limits-epsilon-delta/v/building-the-idea-of-epsilon-delta-definition	khanacademy	video	:00Let's try to come up with a mathematically rigorousdefinition for what this statement means.The statement that the limit of fof x as x approaches c is equal to L. So let'ssay that this means that you can get f of x as closeto L as you want.I'll put that in quotes right over here,because it's kind of a little looseygoosey as how close is that.But as close as you want by gettingx sufficiently close to c.So another way of saying this is, if you tell me, hey,I want to get my f of x to be within 0.5 of this limit.Then you're telling me if this limit is actually true,you should be able to hand me a value around c.That if x is within that range, then f of xis definitely going to be as close to L as I desire.So let me draw that out to make it a little bit clearer.And I'm going to zoom in.I'm going to draw another diagram.So let's say that this right over here is my y-axis.And I'm going to zoom in.I'm going to draw a slightly different function, just so wecan really focus on what's going on around here.The range is around c, and the range is around L. So that's x.This right over here is y.Let's say that this is c.And let's just zoom in on our function.So let's say our function looks, is doing something like,let's say it does something like, let's see, Idon't want it to be defined at c.At least just for the-- it could be.You can always find a limit even where is defined.But let's say our function looks something like that.And it can have a little kink in it, the way I drew it.So it looks something like this.It's undefined.Let me draw it a little bit different.So it is undefined when x is equal to c.So this is the point where there's a hole.It is undefined when x is equal to c.So it even has a little kink in it, just like that.And what we want to do is prove that the limit,as x, the limit of f of x-- and let me make it clear,this is the graph of y is equal to fof x-- we want to get an idea for what this definition issaying.If we're claiming that the limit of f of x, as x approaches c,is L.So conceptually, we get the gist already.We already get the gist that this right over here is L.But what is this definition saying?Well, it's saying that you can get f of x as closeto L as you want.So if you tell someone, I want to getf of x within a certain range of L,then if this limit is actually true,if the limit of f of x as x approaches creally is equal to L, then they shouldbe able to find a range around c.That as long as x is around that range,your f of x is going to be in the range that you want.So let me actually go through that exercise.It really is a little bit like a game.So someone comes up to you and says, well, OK.I don't necessarily believe that you'reclaiming the limit of f of x as x approaches c is equal to L.I'm not really sure if that's the case.But I agree with this definition.So I want to get within 0.5.I want to get f of x within 0.5 of L. So this right over herewould be L plus 0.5.And this right over here is L minus 0.5.And then you say, fine.I'm going to give you a range around c,that if you take any x within that range, your f of xis always going to fall in this range that you care about.And so you look at this-- and obviously we haven't explicitlydefined this function.But you can even eyeball it, the way this function is defined.It won't be that easy for all functions.But you look at it like this.And you say that this value, just the wayit's drawn right over here, let'ssay that this is c minus 0.25.And let's say that this value right over here is c plus 0.25.And so you tell them, look, as longas you get x within 0.25 of c, so as longas your x's are sitting someplace over here,the corresponding f of x is going to sit in the rangethat you care about.And you say, OK, fine.You won that round.Let me make it even tighter.Maybe instead of saying within the 0.5, I want to get withinis 0.05.And then you'd have to do this exercise again and findanother range.And in order for this to be true,you would have to be able to do this for any rangethat they give you.For any range around L that they give you,you have to be able to get f of x within that rangeby finding a range around c.That as long as x is that range around c,f of x is going to sit within that range.So I'll let you think about that a little bit.There's a lot to think about.But hopefully this made sense.We did it for the particular example of someonehands you the 0.5, I want f of x within the 0.5 of L,and you say, well, as long as x is within 0.25 of c,you're going to match it.You need to be able to do that for any rangethey give you around L. And then this limitwill definitely be true.So in the next video, we will now generalize that.And that will really bring us to the famous epsilon deltadefinition of limits.
0	https://www.khanacademy.org/math/calculus-1/cs1-limits-and-continuity/cs1-formal-definition-of-limits-epsilon-delta/v/epsilon-delta-definition-of-limits	khanacademy	video	:00In the last video, we tried to come upwith a somewhat rigorous definition of what a limit is,where we say when you say that the limit of fof x as x approaches C is equal L, you're really saying--and this is the somewhat rigorous definition--that you can get f of x as close as youwant to L by making x sufficiently close to C.So let's see if we can put a little bit of meat on it.So instead of saying as close as you want,let's call that some positive number epsilon.So I'm just going to use the Greek letter epsilon right overthere.So it really turns into a game.So this is the game.You tell me how close you want f of x to be to L.And you do this by giving me a positive number that we callepsilon, which is really how close you wantf of x to be to L. So you give a positive number epsilon.And epsilon is how close do you want to be?How close?So for example, if epsilon is 0.01,that says that you want f of x to be within 0.01 of epsilon.And so what I then do is I say well, OK.You've given me that epsilon.I'm going to find you another positive number which we'llcall delta-- the lowercase delta, the Greek letterdelta-- such that where if x is within delta of C,then f of x will be within epsilon of our limit.So let's see if these are really saying the same thing.In this yellow definition right over here,we said you can get f of x as closeas you want to L by making x sufficiently close to C.This second definition, which I kind ofmade as a little bit more of a game, is doing the same thing.Someone is saying how close they want f of x to be to Land the burden is then to find a delta where as longas x is within delta of C, then f of xwill be within epsilon of the limit.So that is doing it.It's saying look, if we are constraining x in such a waythat if x is in that range to C, thenf of x will be as close as you want.So let's make this a little bit clearerby diagramming right over here.You show up and you say well, I wantf of x to be within epsilon of our limit.This point right over here is our limit plus epsilon.And this right over here might be our limit minus epsilon.And you say, OK, sure.I think I can get your f of x within this range of our limit.And I can do that by defining a range around C.And I could visually look at this boundary.But I could even go narrower than that boundary.I could go right over here.Says OK, I meet your challenge.I will find another number delta.So this right over here is C plus delta.This right over here is C minus-- letme write this down-- is C minus delta.So I'll find you some delta so that if youtake any x in the range C minus delta to Cplus delta-- and maybe the function's not evendefined at C, so we think of onesthat maybe aren't C, but are getting very close.If you find any x in that range, f of thosex's are going to be as close as you want to your limit.They're going to be within the range L plus epsilon or Lminus epsilon.So what's another way of saying this?Another way of saying this is you give me an epsilon,then I will find you a delta.So let me write this in a little bit more math notation.So I'll write the same exact statementswith a little bit more math here.But it's the exact same thing.Let me write it this way.Given an epsilon greater than 0-- sothat's kind of the first part of the game--we can find a delta greater than 0, suchthat if x is within delta of C.So what's another way of saying that x is within delta of C?Well, one way you could say, well,what's the distance between x and Cis going to be less than delta.This statement is true for any x that's within delta of C.The difference between the two is going to be less than delta.So that if you pick an x that is in this range between Cminus delta and C plus delta, and theseare the x's that satisfy that right over here, then--and I'll do this in a new color-- thenthe distance between your f of x and your limit--and this is just the distance between the f of xand the limit, it's going to be less than epsilon.So all this is saying is, if the limit truly does exist,it truly is L, is if you give me any positive number epsilon,it could be super, super small one, we can find a delta.So we can define a range around Cso that if we take any x value thatis within delta of C, that's all this statementis saying that the distance between x and Cis less than delta.So it's within delta of C. So that'sthese points right over here.That f of those x's, the functionevaluated at those x's is going to be within the rangethat you are specifying.It's going to be within epsilon of our limit.The f of x, the difference between f of x, and your limitwill be less than epsilon.Your f of x is going to sit some place over there.So that's all the epsilon-delta definition is telling us.In the next video, we will prove that a limit existsby using this definition of limits.
0	https://www.khanacademy.org/math/calculus-1/cs1-limits-and-continuity/cs1-formal-definition-of-limits-epsilon-delta/v/proving-a-limit-using-epsilon-delta-definition	khanacademy	video	:00In the last video, we took our first lookat the epsilon-delta definition of limits, which essentiallysays if you claim that the limit of f of x as x approaches Cis equal to L, then that must mean by the definitionthat if you were given any positive epsilon that itessentially tells us how close we want f of x to be to L.We can always find a delta that'sgreater than 0, which is essentially telling usour distance from C such that if x is within delta of C,then f of x is going to be within epsilon of L.If we can find a delta for any epsilon,then we can say that this is indeedthe limit of f of x as x approaches C.Now, I know what you're thinking.This seems all very abstract.I want to somehow use this thing.And what we will do in this video is use itand to rigorously prove that a limit actually exists.So, right over here, I've defined a function, f of x.It's equal to 2x everywhere except for x equals 5.So it's 2x everywhere for all the other values of x,but when x is equal to 5, it's just equal to x.So I could have really just written 5.It's equal to 5 when x is equal to 5.It's equal to itself.And so we've drawn the graph here.Everywhere else, it looks just like 2x.At x is equal to 5, it's not along the line 2x.Instead, the function is defined to bethat point right over there.And if I were to ask you what is the limit of fof x as x approaches 5, you mightthink of it pretty intuitively.Well, let's see.The closer I get to 5, the closerf of x seems to be getting to 10.And so, you might fairly intuitively make the claimthat the limit of f of x as x approaches 5 reallyis equal to 10.It looks that way.But what we're going to do is usethe epsilon-delta definition to actually prove it.And the way that most of these proofs typically gois we define delta in the abstract.And then we essentially try to come up with a waythat given any epsilon, we can always come up with a delta.Or another way is we're going to tryto describe our delta as a function of epsilon,not to confuse you too much.But maybe I shouldn't use f again.But delta equals function of epsilonthat is defined for any positive epsilon.So you give me an epsilon, I justput into our little formula or little function box.And I will always get you a delta.And if I can do that for any epsilon that'll always give youa delta, where this is true, that if x is within delta of C,then the corresponding f of x is going to be within epsilonof L. Then the limit definitely exists.So let's try to do that.So let's think about being within delta of our C.So, let's think about this right over here is 5 plus delta,this is 5 minus delta.So that's our range we're going to think about.We're going to think about it in the abstract at first.And then we're going to try to come upwith a formula for delta in terms of epsilon.So how could we describe all of the x's that are in this rangebut not equal to 5 itself?Because we really care about the thingsthat are within delta of 5, but not necessarily equal to 5.This is just a strictly less than.They're within a range of C, but not equal to C.Well, that's going to be all of the x's that satisfy x minus 5is less than delta.That describes all of these x's right over here.And now, what we're going to do, and the way these proofstypically go, is we're going to tryto manipulate the left-hand side of the inequality,so it starts to look something like this,or it starts to look exactly like that.And as we do that, the right-hand sideof the inequality is going to be expressed in terms of delta.And then we can essentially say well, look.If the right-hand side is in termsof delta and the left-hand side looks justlike that, that really defines how we can express deltain terms of epsilon.If that doesn't make sense, bear with me.I'm about to do it.So, if we want x minus 5 to look a lot more like this, whenx is not equal to 5-- in all of this, this whole interval,x is not equal to 5-- f of x is equal to 2x,our proposed limit is equal to 10.So if we could somehow get this to be 2x minus 10,then we're in good shape.And the easiest way to do that isto multiply both sides of this inequality by 2.And 2 times the absolute value of something,that's the same thing as the absolute value of 2 timesthat thing.If I were to say 2 times the absolute value of a,that's the same thing as the absolute value of 2a.So on the left-hand side right over here,this is just going to be the absolute value of 2x minus 10.And it's going to be less than on the right-hand side,you just end up with a 2 delta.Now, what do we have here on the left-hand side?Well, this is f of x as long as x does not equal 5.And this is our limit.So we can rewrite this as f of x minus L is less than 2 delta.And this is for x does not equal 5.This is f of x, this literally is our limit.Now this is interesting.This statement right over here is almostexactly what we want right over here,except the right sides are just different.In terms of epsilon, this has it in terms of delta.So, how can we define delta so that 2 delta is essentiallygoing to be epsilon?Well, this is our chance.And this is where we're defining delta as a function of epsilon.We're going to make 2 delta equal epsilon.Or if you divide both sides by 2,we're going to make delta equal to epsilon over 2.Let me switch colors just to ease the monotony.If you make delta equal epsilon over 2,then this statement right over herebecomes the absolute value of f of x minus Lis less than, instead of 2 delta,it'll be less than 2 times epsilon over 2.It's just going to be less than epsilon.So this is the key.If someone gives you any positive number epsilonfor this function, as long as you make delta equal epsilonover 2, then any x within that range,that corresponding f of x is goingto be within epsilon of our limit.And remember, it has to be true for any positive epsilon.But you could see how the game could go.If someone gives you the epsilon,let's say they want to be within 0.5 of our limit.So our limit is up here, so our epsilon is 0.5.So it would literally be the range I want to be between 10plus epsilon would be 10.5.And then 10 minus epsilon would be 9.5.Well, we just came up with a formula.We just have to make delta equal to epsilonover 2, which is equal to 0.25.So that'll give us a range between 4.75 and 5.25.And as long as we pick an x between 4.75 and 5.25,but not x equals 5, the corresponding f of xwill be between 9.5 and 10.5.And so, you give me any epsilon, Ican just apply this formula right over hereto come up with the delta.This would apply for any real number.I mean, especially any positive number.For any epsilon you give me, I justget a delta defined this way, and then Ican go through this arc.If the absolute value of x minus 5 is less than delta,if delta is defined in this way, whichI could define for any epsilon, then itwill be the case that f of x willbe within epsilon of our limit.
0	https://www.khanacademy.org/math/calculus-1/cs1-limits-and-continuity/cs1-properties-of-limits/v/limit-properties	khanacademy	video	:00What I want to do in this video is give youa bunch of properties of limits.And we're not going to prove it rigorously here.In order to have the rigorous proof of these properties,we need a rigorous definition of what a limit is.And we're not doing that in this tutorial,we'll do that in the tutorial on the epsilon deltadefinition of limits.But most of these should be fairly intuitive.And they are very helpful for simplifying limit problemsin the future.So let's say we know that the limit of some functionf of x, as x approaches c, is equal to capital L.And let's say that we also know that the limitof some other function, let's say g of x, as x approaches c,is equal to capital M.Now given that, what would be the limit of fof x plus g of x as x approaches c?Well-- and you could look at this visually,if you look at the graphs of two arbitrary functions,you would essentially just add those two functions--it'll be pretty clear that this is going to be equal to--and once again, I'm not doing a rigorous proof,I'm just really giving you the properties here--this is going to be the limit of f of x as x approaches c,plus the limit of g of x as x approaches c.Which is equal to, well this right over hereis-- let me do that in that same color--this right here is just equal to L.It's going to be equal to L plus M. This right over hereis equal to M.Not too difficult.This is often called the sum rule, or the sum property,of limits.And we could come up with a very similar one with differences.The limit as x approaches c of f of x minus g of x,is just going to be L minus M. It's justthe limit of f of x as x approachesc, minus the limit of g of x as x approaches c.So it's just going to be L minus M.And we also often call it the differencerule, or the difference property, of limits.And these once again, are very, very, hopefully, reasonablyintuitive.Now what happens if you take the product of the functions?The limit of f of x times g of x as x approaches c.Well lucky for us, this is going to beequal to the limit of f of x as x approachesc, times the limit of g of x, as x approaches c.Lucky for us, this is kind of a fairly intuitive propertyof limits.So in this case, this is just goingto be equal to, this is L times M. This is justgoing to be L times M. Same thing,if instead of having a function here, we had a constant.So if we just had the limit-- letme do it in that same color-- the limit of k timesf of x, as x approaches c, where k is just some constant.This is going to be the same thing as k times the limitof f of x as x approaches c.And that is just equal to L. So this whole thingsimplifies to k times L.And we can do the same thing with difference.This is often called the constant multiple property.We can do the same thing with differences.So if we have the limit as x approachesc of f of x divided by g of x.This is the exact same thing as the limitof f of x as x approaches c, dividedby the limit of g of x as x approaches c.Which is going to be equal to-- I think you get it now--this is going to be equal to L over M.And finally-- this is sometimes called the quotient property--finally we'll look at the exponent property.So if I have the limit of-- let mewrite it this way-- of f of x to some power.And actually, let me even write itas a fractional power, to the r over spower, where both r and s are integers, then the limit of fof x to the r over s power as x approaches c,is going to be the exact same thing as the limit of fof x as x approaches c raised to the r over s power.Once again, when r and s are both integers, and sis not equal to 0.Otherwise this exponent would not make much sense.And this is the same thing as L to the r over s power.So this is equal to L to the r over s power.So using these, we can actually findthe limit of many, many, many things.And what's neat about it is the property of limits kind ofare the things that you would naturally want to do.And if you graph some of these functions,it actually turns out to be quite intuitive.
0	https://www.khanacademy.org/math/calculus-1/cs1-limits-and-continuity/cs1-properties-of-limits/v/limits-of-combined-functions	khanacademy	video	:00- [Instructor] Let's find the limit of f of xtimes h of x as x approaches zero.All right, we have graphical depictionsof the graphs y equals f of x and y equals h of x.And we know, from our limit properties,that this is going to be the same thing as the limitas x approaches zero of f of xtimes,times the limitas x approaches zero ofh of x.And let's think about what each of these are.So let's first think about f of x right over here.So on f of x, as x approaches zero,notice the function itself isn't defined there.But we see when we approach from the left,we are approaching the,the function seems to be approaching the valueof negative one right over here.And as we approach from the right, the function seemsto be approaching the value of negative one.So the limit here,this limit here is negative one.As we approach from the left,we're approaching negative one.As we approach from the right, the value of the functionseems to be approaching negative one.Now what about h of x?Well, h of x we have down here.As x approaches zero,as x approaches zero,the function is defined at x equals zero.It looks like it is equal to one.And the limit is also equal to one.We can see that, as we approach it from the left,we are approaching one.As we approach from the right, we're approaching one.As we approach x equals zero from the left, we approach,the function approaches one.As we approach x equals zero from the right,the function itself is approaching one.And it makes sense that the function is defined there,is defined at x equals zero,and the limit as x approaches zerois equal to the same as the,is equal to the value of the function at that pointbecause this is a continuous function.So this is,this is one.And so negative one times oneis going to be equal to,is equal to negative one.So that is equal to negative one.Let's do one more.All right, so these are both,looks like continuous functions.So we have the limit as x approaches zero of h of xover g of x.So once again, using our limit properties,this is going to be the same thing as the limit of h of xas x approaches zeroover the limitof g of xas x approaches zero.Now what's the limit of h of x as x approaches zero?This is, let's see,as we approach zero from the left,as we approach x equals zero from the left,our function seems to be approaching four.And as we approach x equals zero from the right,our function seems to be approaching four.That's also what the valueof the function is at x equals zero.That makes sense because this is a continuous function.So the limit as we approach x equals zero should be the sameas the value of the function at x equals zero.So this top, this is going to be four.Now let's think about the limit of g of x as x equals,as x approaches zero.So from the left, it looks like, as x approaches zero,the value of the function is approaching zero.And as x approaches zero from the right,the value of the function is also approaching zero,which happens to also be,which also happens to be g of zero.G of zero is also zero.And that makes sense that the limit and the actual valueof the function at that point is the samebecause it's continuous.So this also is zero,but now we're in a strange situation.We have to take four and divide it by zero.So this limit will not exist'cause we can't take four and divide it by zero.So even though the limit of h of x is x equals,as x approaches zero existsand the limit of g of x as x approaches zero exists,we can't divide four by zero,so this whole entire limit does not exist,does not exist.And actually, if you were to plot h of x over g of x,if you were to plot that graph,you would see it even clearerthat that limit does not exist.You would actually be able to see it graphically.
0	https://www.khanacademy.org/math/calculus-1/cs1-limits-and-continuity/cs1-properties-of-limits/v/limits-of-combined-functions-piecewise	khanacademy	video	:00- [Instructor] We are asked to findthese three different limits.I encourage you like always,pause this video and try to do it yourselfbefore we do it together.So when you do this first one,you might just try to find the limitas x approaches negative two of f of xand then the limit as x approaches negative two of g of xand then add those two limits together.But you will quickly find a problem,'cause when you find the limitas x approaches negative two of f of x,it looks as we are approaching negative twofrom the left, it looks like we're approaching one.As we approach x equals negative two from the right,it looks like we're approaching three.So it looks like the limitas x approaches negative two of f of x doesn't exist,and the same thing's true of g of x.If we approach from the left,it looks like we're approaching three.If we approach from the right,it looks like we're approaching one.But it turns out that this limit can still existas long as the limit as x approaches negative twofrom the left of the sum,f of x plus g of x,exists and is equal to the limitas x approaches negative two from the right of the sum,f of x plus g of x.So what are these things?Well, as we approach negative two from the left,f of x is approaching, looks like one,and g of x is approaching three.So it looks like we're approaching one and three.So it looks like this is approaching.The sum is going to approach four.And if we're coming from the right,f of x looks like it's approaching threeand g of x looks like it is approaching one.Once again, this is equal to four.And since the left and right handed limitsare approaching the same thing,we would say that this limit exists and it is equal to four.Now let's do this next example as x approaches one.Well, we'll do the exact same exercise.And once again, if you look at the individual limitsfor f of x from the left and the right as we approach one,this limit doesn't exist.But the limit as x approaches one of the sum might exist,so let's try that out.So the limit as x approaches onefrom the left hand side of f of x plus g of x,what is that going to be equal to?So f of x, as we approach one from the left,looks like this is approaching two.I'm just doing this for shorthand.And g of x, as we approach one from the left,it looks like it is approaching zero.So this will be approaching two plus zero, which is two.And then the limit,as x approaches one from the right hand sideof f of x plus g of x is going to be equal to.Well, for f of x as we're approaching onefrom the right hand side,looks like it's approaching negative one.And for g of x as we're approaching onefrom the the right hand side,looks like we're approaching zero again.Here it looks like we're approaching negative one.So the left and right hand limitsaren't approaching the same value,so this one does not exist.And then last but not least,x approaches one of f of x times g of x.So we'll do the same drill.Limit as x approaches one from the left hand sideof f of x times g of x.Well, here, and we can even use the values here.We see it was approaching one from the left.We are approaching two, so this is two.And when we're approaching one from the left here,we're approaching zero.We're gonna be approaching two times zero, which is zero.And then we approach from the right.X approaches one from the rightof f of x times g of x.Well, we already saw when we're approaching onefrom the right of f of x,we're approaching negative one.But g of x, approaching one from the right,is still approaching zero,so this is going to be zero again, so this limit exists.We get the same limitwhen we approach from the left and the right.It is equal to zero.So these are pretty interesting examples,because sometimes when you thinkthat the component limits don't existthat that means that the sumor the product might not exist,but this shows at least two exampleswhere that is not the case.
0	https://www.khanacademy.org/math/calculus-1/cs1-limits-and-continuity/cs1-properties-of-limits/v/limits-of-composite-functions	khanacademy	video	:00- [Tutor] In this video, we're going to try to understandlimits of composite functions, or at least a wayof thinking about limits of composite functionsand in particular, we're gonna think about the casewhere we're trying to find the limit as x approaches a,of f of g of xand we're going to see under certain circumstances,this is going to be equal to f of the limit,the limit as x approaches a of g of xand what are those circumstances you are asking?Well, this is going to be trueif and only if two things are true,first of all, this limit needs to exist.So the limit as x approaches a of g of x needs to exist,so that needs to exist and then on top of that,the function f needs to be continuous at this pointand f continuous at L.So let's look at some examplesand see if we can apply this ideaor see if we can't apply it.So here I have two functions,that are graphically represented right over here,let me make sure I have enough space for themand what we see on the left-hand side is our function fand what we see on the right-hand side is our function g.So first let's figure out what is the limitas x approaches negative threeof f of g of x.Pause this video and see,first of all, does this theorem apply?And if it does apply, what is this limit?So the first thing we need to seeis does this theorem apply?So first of all, if we were to find the limitas x approaches negative three of g of x, what is that?Well, when we're approaching negative three from the right,it looks like our function is actually at threeand it looks like when we're approaching negative threefrom the left, it looks like our function is at three.So it looks like this limit is three,even though the value g of negative three is negative two,but it's a point discontinuity.As we approach it from either side,the value of the function is at three.So this thing is going to be three,so it exists, so we meet that first conditionand then the second question is is our function fcontinuous at this limit, continuous at three?So when x equals three, yeah, it looks like at that point,our function is definitely continuousand so we could say that this limitis going to be the same thingas this equals f of the limitas x approaches negative three of g of x,close the parenthesesand we know that this is equal to threeand we know that f of threeis going to be equal to negative one.So this met the conditions for this theoremand we were able to use the theoremto actually solve this limit.
0	https://www.khanacademy.org/math/calculus-1/cs1-limits-and-continuity/cs1-properties-of-limits/v/theorem-for-limits-of-composite-functions-when-conditions-aren-t-met	khanacademy	video	:00- [Tutor] In a previous video we used this theoremto evaluate certain types of composite functions.In this video we'll do a few more examples,that get a little bit more involved.So let's say we wanted to figure out the limitas x approaches zeroof f of g of x,f of g of x.First of all, pause this videoand think about whether this theorem even applies.Well, the first thing to think aboutis what is the limit as x approaches zero of g of xto see if we meet this first condition.So if we look at g of x, right over hereas x approaches zero from the left,it looks like g is approaching two,as x approaches zero from the right,it looks like g is approaching twoand so it looks like this is going to be equal to two.So that's a check.Now let's see the second condition,is f continuous at that limit at two.So when x is equal to two,it does not look like f is continuous.So we do not meet this second condition right over here,so we can't just directly apply this theorem.But just because you can't apply the theoremdoes not mean that the limit doesn't necessarily exist.For example, in this situationthe limit actually does exist.One way to think about it,when x approaches zero from the left,it looks like g is approaching two from aboveand so that's going to be the input into fand so if we are now approaching two from above hereas the input into f,it looks like our function is approaching zeroand then we can go the other way.If we are approaching zero from the right, right over here,it looks like the value of our functionis approaching two from below.Now if we approach two from below,it looks like the value of f is approaching zero.So in both of these scenarios,our value of our function f is approaching zero.So I wasn't able to use this theorem,but I am able to figure outthat this is going to be equal to zero.Now let me give you another example.Let's say we wanted to figure out the limitas x approaches twoof f of g of x.Pause this video,we'll first see if this theorem even applies.Well, we first wanna see what is the limitas x approaches two of g of x.When we look at approaching two from the left,it looks like g is approaching negative two.When we approach x equals two from the right,it looks like g is approaching zero.So our right and left hand limits are not the same here,so this thing does not exist, does not existand so we don't meet this condition right over here,so we can't apply the theorem.But as we've already seen,just because you can't apply the theoremdoes not mean that the limit does not exist.But if you like pondering things,I encourage you to see that this limit doesn't existby doing very similar analysisto the one that I did for our first example.
0	https://www.khanacademy.org/math/calculus-1/cs1-limits-and-continuity/cs1-properties-of-limits/v/limits-of-composite-functions-internal-limit-doesn-t-exist	khanacademy	video	:00- [Instructor] All right, let's geta little bit more practice taking limitsof composite functions.Here, we want to figure out what is the limitas x approaches negative one of g of h of x?The function g, we see it defined graphicallyhere on the left, and the function h,we see it defined graphically here on the right.Pause this video and have a go at this.All right, now your first temptation might be to say,all right, what is the limit as x approaches negative oneof h of x, and if that limit exists, then input that into g.If you take the limit as x approaches negative oneof h of x, you see that you have a different limitas you approach from the rightthan when you approach from the left.So your temptation might be to give up at this point,but what we'll do in this video is to realizethat this composite limit actually existseven though the limit as x approaches negative oneof h of x does not exist.How do we figure this out?Well, what we could do is take right-handedand left-handed limits.Let's first figure out what is the limitas x approaches negative one from the right hand sideof g of h of x?Well, to think about that, what is the limit of has x approaches negative one from the right hand side?As we approach negative one from the right hand side,it looks like h is approaching negative two.Another way to think about it is this is going to beequal to the limit as h of x approaches negative two,and what direction is it approaching negative two from?Well, it's approaching negative two from valueslarger than negative two.H of x is decreasing down to negative twoas x approaches negative one from the right.So it's approaching from values larger than negative twoof g of h of x.G of h of x.I'm color coding it to be able to keep track of things.This is analogous to saying what is the limit,if you think about it as x approaches negative twofrom the positive direction of g?Here, h is just the input into g.So the input into g is approaching negative twofrom above, from the right I should say,from values larger than negative two,and we can see that g is approaching three.So this right over here is going to be equal to three.Now, let's take the limit as x approaches negative onefrom the left of g of h of x.What we could do is first think about what is h approachingas x approaches negative one from the left?As x approaches negative one from the left,it looks like h is approaching negative three.We could say this is the limitas h of x is approaching negative three,and it is approaching negative threefrom values greater than negative three.H of x is approaching negative three from above,or we could say from values greater than negative three,and then of g of h of x.Another way to think about it,what is the limit as the input to gapproaches negative three from the right?As we approach negative three from the right,g is right here at three,so this is going to be equal to three again.So notice the right hand limit and the left hand limitin this case are both equal to three.So when the right hand and the left hand limitis equal to the same thing, we know that the limitis equal to that thing.This is a pretty cool example,because the limit of, you could say the internal functionright over here of h of x, did not exist,but the limit of the composite function still exists.
